"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.config_obj","Input.src_tokens","Input.tar_tokens","Answer.alignment","Answer.src_tokens","Answer.tar_tokens","Turkle.Username"
"460548","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19875","156","Thu Dec 16 19:00:29 UTC 2021","Thu Dec 16 19:00:34 UTC 2021","5","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[10]}","[""Duterte"", ""is"", ""also"", ""supporting"", ""a"", ""controversial"", ""bill"", ""to"", ""restore"", ""the"", ""death penalty"", ""in"", ""the"", ""country"", "".""]","[""ترامپ"", ""همچنین"", ""از"", ""لایحه"", ""بحث"", ""برانگیز"", ""بازسازی"", ""مجازات"", ""اعدام"", ""در"", ""کشور"", ""حمایت"", ""می"", ""کند"", "".""]","[[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,true,true,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
"460552","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","20666","51","Thu Jan 06 15:24:21 UTC 2022","Thu Jan 06 15:24:48 UTC 2022","27","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[1, 9, 12, 14, 16]}","[""Earlier"", ""Susan Kenny"", "","", ""34"", "","", ""of"", ""Leyland"", "","", ""was"", ""found not guilty"", ""of"", ""both"", ""murder"", ""and"", ""manslaughter"", ""at"", ""Preston Crown Court"", "".""]","[""سوزان"", ""کِنی"", ""،"", ""۳۴"", ""ساله"", ""،"", ""از"", ""لایلند"", ""،"", ""در"", ""دادگاه"", ""عالی"", ""پرستون"", ""،"", ""به"", ""عنوان"", ""مجرم"", ""شناخته"", ""شد"", "".""]","[[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","mahsay"
"460554","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19882","156","Thu Dec 16 19:03:53 UTC 2021","Thu Dec 16 19:06:06 UTC 2021","133","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[24, 25]}","[""The"", ""emergency"", ""services"", ""were"", ""called"", ""to"", ""Edgehill"", ""Crescent"", ""at"", ""about"", ""0530"", ""BST"", ""on"", ""1"", ""January"", ""and"", ""found"", ""Mr"", ""Rogers"", ""lying"", ""in"", ""the"", ""road"", "","", ""police"", ""said"", "".""]","[""مأموران"", ""اورژانس"", ""در"", ""حدود"", ""۰۵"", "":"", ""۳۰"", ""ژانویه"", ""به"", ""خیابان"", ""اجهیل"", ""احضار"", ""شدند"", ""و"", ""آقای"", ""راجرز"", ""را"", ""در"", ""جاده"", ""پیدا"", ""کردند"", "".""]","[[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
"460556","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19920","156","Fri Dec 17 01:05:38 UTC 2021","Fri Dec 17 01:06:11 UTC 2021","33","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[29]}","[""Det"", ""Ch"", ""Insp"", ""Andy"", ""Hulme"", ""said"", "":"", ""&quot;"", ""While"", ""I"", ""respect"", ""the"", ""decision"", ""of"", ""the"", ""court"", "","", ""naturally"", ""I"", ""am"", ""disappointed"", ""with"", ""the"", ""decision"", ""of"", ""the"", ""jury"", ""to"", ""clear"", ""the defendant"", ""on"", ""the"", ""charge"", ""of"", ""murder"", ""and"", ""manslaughter"", "".""]","[""بازرس"", ""پلیس"", ""اندی"", ""هولم"", ""گفت"", "":"", ""«"", ""در"", ""حالی"", ""که"", ""به"", ""تصمیم"", ""دادگاه"", ""احترام"", ""می"", ""گذارم"", ""،"", ""طبیعتاً"", ""از"", ""تصمیم"", ""هیئت"", ""منصفه"", ""برای"", ""تبرئه"", ""متهمان"", ""از"", ""اتهام"", ""قتل"", ""و"", ""قتل"", ""ناامید"", ""هستم"", "".""]","[[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
"460561","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19925","156","Fri Dec 17 01:09:22 UTC 2021","Fri Dec 17 01:10:08 UTC 2021","46","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[0, 1]}","[""Georgian troops"", ""fled"", ""the"", ""province"", ""at"", ""the"", ""close"", ""of"", ""the"", ""war"", ""and"", ""Abkhazia"", ""later"", ""declared"", ""independence"", "".""]","[""نیروهای"", ""گرجی"", ""پس"", ""از"", ""پایان"", ""جنگ"", ""از"", ""استان"", ""فرار"", ""کردند"", ""و"", ""آبخازیا"", ""بعدها"", ""استقلال"", ""خود"", ""را"", ""اعلام"", ""کرد"", "".""]","[[true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
"460562","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19926","156","Fri Dec 17 01:10:08 UTC 2021","Fri Dec 17 01:10:22 UTC 2021","14","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[9, 10]}","[""The"", ""territory"", ""has"", ""not"", ""been"", ""recognised"", ""internationally"", "","", ""with"", ""the EU"", ""saying"", ""Georgia"", ""should"", ""not"", ""be"", ""broken"", ""up"", "".""]","[""این"", ""سرزمین"", ""در"", ""سطح"", ""بین"", ""المللی"", ""به"", ""رسمیت"", ""شناخته"", ""نشده"", ""است"", ""،"", ""اتحادیه"", ""اروپا"", ""می"", ""گوید"", ""گرجستان"", ""نباید"", ""تقسیم"", ""شود"", "".""]","[[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
"460563","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19927","156","Fri Dec 17 01:10:22 UTC 2021","Fri Dec 17 01:11:02 UTC 2021","40","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[1, 4, 6, 10]}","[""Earlier"", ""Abkhaz officials"", ""threatened"", ""that"", ""their forces"", ""would"", ""fire on"", ""the"", ""demonstrators"", ""if"", ""they"", ""crossed"", ""a"", ""river"", ""into"", ""Abkhaz"", ""territory"", "".""]","[""مقامات"", ""آذربایجانی"", ""پیش"", ""از"", ""این"", ""تهدید"", ""کرده"", ""بودند"", ""که"", ""اگر"", ""آن"", ""ها"", ""از"", ""رودخانه"", ""ای"", ""به"", ""قلمرو"", ""آبخاز"", ""عبور"", ""کنند"", ""،"", ""نیروهای"", ""خود"", ""را"", ""به"", ""سمت"", ""تظاهرکنندگان"", ""شلیک"", ""خواهند"", ""کرد"", "".""]","[[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,true,true,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
"460568","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19932","156","Fri Dec 17 01:13:12 UTC 2021","Fri Dec 17 01:14:57 UTC 2021","105","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[1, 7]}","[""Egyptian"", ""blasts"", "","", ""one"", ""near"", ""pyramids"", "","", ""kill"", ""and"", ""wound"", ""officers""]","[""بمب"", ""های"", ""مصری"", ""،"", ""یکی"", ""نزدیک"", ""اهرام"", ""،"", ""افسران"", ""را"", ""می"", ""کشند"", ""و"", ""زخمی"", ""می"", ""کنند"", ""،""]","[[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
"460570","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19934","156","Fri Dec 17 01:15:13 UTC 2021","Fri Dec 17 01:15:20 UTC 2021","7","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[2]}","[""Militants"", ""have"", ""killed"", ""hundreds"", ""of"", ""policemen"", ""and"", ""soldiers"", ""since"", ""the"", ""overthrow"", ""of"", ""Morsy"", ""in"", ""July"", ""2013"", "".""]","[""شورشیان"", ""از"", ""زمان"", ""سرنگونی"", ""مرسی"", ""در"", ""ژوئیه"", ""۲۰۱۳"", ""صدها"", ""پلیس"", ""و"", ""سرباز"", ""را"", ""کشته"", ""اند"", "".""]","[[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
"460572","82","BETTER Span Alignment","Wed Dec 15 18:06:42 UTC 2021","1","86400","19936","156","Fri Dec 17 01:15:52 UTC 2021","Fri Dec 17 01:15:58 UTC 2021","6","{""src_enable_retokenize"": true, ""version"": {""PATCH"": 0, ""MAJOR"": 1, ""MINOR"": 0}, ""tar_enable_retokenize"": false,""src_head_inds"":[4]}","[""All"", ""224"", ""people"", ""aboard"", ""died"", "".""]","[""همه"", ""۲۲۴"", ""نفر"", ""در"", ""کشتی"", ""کشته"", ""شدند"", "".""]","[[false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false],[false,false,false,false,false,false,false,false],[false,false,false,false,false,true,true,false],[false,false,false,false,false,false,false,false]]","undefined","undefined","shabnam_b"
