doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,"More than 100 demonstrators gathered at the Mendiola Peace Arch , near Malacanang Palace , where they performed stage plays portraying the procession and crucifixion of Jesus Christ to protest President Rodrigo Duterte &apos;s policies , including his support for death penalty , Efe news reported .",بیش از ۱۰۰ تظاهرات کننده در طاق صلح ماندولا در نزدیکی کاخ مالاکاناگانگ گرد هم آمدند ، جایی که نمایش های صحنه ای مراسم و مصلوب شدن عیسی مسیح را در اعتراض به سیاست های رئیس جمهور رودریگو دوترته ، از جمله حمایت او از مجازات اعدام ، به تصویر کشیدند .,demonstrators,تظاهرات کننده,"['تظاهرات', 'کننده']",3,4,11,24
,,,,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,The Force Major Investigation Team,تیم تحقیق اصلی نیرو,"['تیم', 'تحقیق', 'اصلی', 'نیرو']",0,3,0,19
,,,,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,the Crown Prosecution Service,سرویس دادستانی کل,"['سرویس', 'دادستانی', 'کل']",19,21,88,105
,,,,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,Susan Kenny,سوزان کنی,"['سوزان', 'کنی']",30,31,148,157
,,,,Earlier Abkhaz officials threatened that their forces would fire on the demonstrators if they crossed a river into Abkhaz territory .,مقامات آذربایجانی پیش از این تهدید کرده بودند که اگر آن ها از رودخانه ای به قلمرو آبخاز عبور کنند ، نیروهای خود را به سمت تظاهرکنندگان شلیک خواهند کرد .,Abkhaz officials,مقامات آذربایجانی,"['مقامات', 'آذربایجانی']",0,1,0,17
,,,,Earlier Abkhaz officials threatened that their forces would fire on the demonstrators if they crossed a river into Abkhaz territory .,مقامات آذربایجانی پیش از این تهدید کرده بودند که اگر آن ها از رودخانه ای به قلمرو آبخاز عبور کنند ، نیروهای خود را به سمت تظاهرکنندگان شلیک خواهند کرد .,their forces,نیروهای خود,"['نیروهای', 'خود']",21,22,100,111
,,,,Earlier Abkhaz officials threatened that their forces would fire on the demonstrators if they crossed a river into Abkhaz territory .,مقامات آذربایجانی پیش از این تهدید کرده بودند که اگر آن ها از رودخانه ای به قلمرو آبخاز عبور کنند ، نیروهای خود را به سمت تظاهرکنندگان شلیک خواهند کرد .,fire on,به سمت شلیک خواهند کرد,"['به', 'سمت', 'شلیک', 'خواهند', 'کرد']",24,29,115,150
,,,,Earlier Abkhaz officials threatened that their forces would fire on the demonstrators if they crossed a river into Abkhaz territory .,مقامات آذربایجانی پیش از این تهدید کرده بودند که اگر آن ها از رودخانه ای به قلمرو آبخاز عبور کنند ، نیروهای خود را به سمت تظاهرکنندگان شلیک خواهند کرد .,they,آن ها,"['آن', 'ها']",10,11,53,58
,,,,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,He,او,['او'],0,0,0,2
,,,,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,AFP,,[],0,0,0,0
,,,,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,saying,,[],0,0,0,0
,,,,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,neither Abkhaz or Georgians,نه آبخاز و نه گرجی,"['نه', 'آبخاز', 'و', 'نه', 'گرجی']",13,17,51,69
,,,,Militants have killed hundreds of policemen and soldiers since the overthrow of Morsy in July 2013 .,شورشیان از زمان سرنگونی مرسی در ژوئیه ۲۰۱۳ صدها پلیس و سرباز را کشته اند .,killed,کشته اند,"['کشته', 'اند']",13,14,64,72
,,,,All 224 people aboard died .,همه ۲۲۴ نفر در کشتی کشته شدند .,died,کشته شدند,"['کشته', 'شدند']",5,6,20,29
,,,,A second bomb in Kafr El-Sheikh killed one civilian motorist and wounded three police officers .,بمب دوم در کفر الشیخ یک راننده غیرنظامی را کشت و سه افسر پلیس را زخمی کرد .,A second bomb,بمب دوم,"['بمب', 'دوم']",0,1,0,7
,,,,A second bomb in Kafr El-Sheikh killed one civilian motorist and wounded three police officers .,بمب دوم در کفر الشیخ یک راننده غیرنظامی را کشت و سه افسر پلیس را زخمی کرد .,one civilian motorist,یک راننده غیرنظامی,"['یک', 'راننده', 'غیرنظامی']",5,7,21,39
,,,,A second bomb in Kafr El-Sheikh killed one civilian motorist and wounded three police officers .,بمب دوم در کفر الشیخ یک راننده غیرنظامی را کشت و سه افسر پلیس را زخمی کرد .,three police officers,سه افسر پلیس,"['سه', 'افسر', 'پلیس']",11,13,49,61
,,,,"Diana Gradinaru , a 45-year-old economist , said the new legislation could result in “ terrible thefts ” by high-level officials , citing legislation that meant video and audio recordings could no longer be used as evidence in prosecutions .",دیانا گرونینارو ، یک اقتصاددان ۴۵ ساله ، گفت که قانون جدید می تواند منجر به « سرقت های وحشتناک » توسط مقامات عالی رتبه شود ، با استناد به قانون که به این معنی است که ویدئو و ضبط های صوتی دیگر نمی تواند به عنوان مدرک در پیگرد قانونی استفاده شود .,thefts,سرقت های,"['سرقت', 'های']",17,18,78,86
,,,,"Diana Gradinaru , a 45-year-old economist , said the new legislation could result in “ terrible thefts ” by high-level officials , citing legislation that meant video and audio recordings could no longer be used as evidence in prosecutions .",دیانا گرونینارو ، یک اقتصاددان ۴۵ ساله ، گفت که قانون جدید می تواند منجر به « سرقت های وحشتناک » توسط مقامات عالی رتبه شود ، با استناد به قانون که به این معنی است که ویدئو و ضبط های صوتی دیگر نمی تواند به عنوان مدرک در پیگرد قانونی استفاده شود .,audio recordings,ضبط های صوتی,"['ضبط', 'های', 'صوتی']",39,41,174,186
,,,,"Diana Gradinaru , a 45-year-old economist , said the new legislation could result in “ terrible thefts ” by high-level officials , citing legislation that meant video and audio recordings could no longer be used as evidence in prosecutions .",دیانا گرونینارو ، یک اقتصاددان ۴۵ ساله ، گفت که قانون جدید می تواند منجر به « سرقت های وحشتناک » توسط مقامات عالی رتبه شود ، با استناد به قانون که به این معنی است که ویدئو و ضبط های صوتی دیگر نمی تواند به عنوان مدرک در پیگرد قانونی استفاده شود .,used as evidence,به عنوان مدرک استفاده شود,"['به', 'عنوان', 'مدرک', 'استفاده', 'شود']",45,52,202,243
