doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
02b07905-fc8e-5aae-a233-741242b2f0ab+4,event-12,anchor,ss-29,found not guilty,مجرم شناخته,,[],0,0,0,0,"[10, 12]"
02b07905-fc8e-5aae-a233-741242b2f0ab+6,event-3,patient,ss-5,police,مأموران اورژانس,,[],0,0,0,0,"[24, 24]"
02b07905-fc8e-5aae-a233-741242b2f0ab+9,event-14,patient,ss-3,the defendant,متهمان,,[],0,0,0,0,"[29, 30]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+3,event-13,agent,ss-1,they,تظاهرکنندگان,آن ها,"['آن', 'ها']",10,11,53,58,"[13, 13]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-23,South Korean sightseers,تماشاگران کره جنوبی,,[],0,0,0,0,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+16,event-32,patient,ss-26,14,,۱۴,['۱۴'],4,4,16,18,"[5, 5]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+2,event-17,anchor,ss-55,bomb,بمب‌ها,,[],0,0,0,0,"[1, 1]"
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+14,event-44,patient,ss-12,"an estimated 1,700",,حدود ۱۷۰۰ نفر,"['حدود', '۱۷۰۰', 'نفر']",27,29,114,127,"[19, 21]"
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+8,event-19,anchor,ss-35,blackmail,وادار,به زور,"['به', 'زور']",10,11,39,45,"[5, 5]"
0ba721fe-bdae-5569-927b-3721f533bbc0+0,event-11,agent,ss-9,Tens of thousands,,ده ها هزار,"['ده', 'ها', 'هزار']",0,2,0,10,"[0, 2]"
0ba721fe-bdae-5569-927b-3721f533bbc0+0,event-15,anchor,ss-35,corruption,فساد در رومانی اعتراض می‌کنند .,فساد,['فساد'],5,5,18,22,"[5, 5]"
1161595d-23a9-59f3-8aeb-ddab8ce19471+3,event-14,agent,ss-1,the virus,آنفولانزای,,[],0,0,0,0,"[6, 7]"
