doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,"He was reported by the Interfax news agency as saying : &quot; Despite the fact that Georgia tried everything to frighten the local population in Gali , people are going to the polls and participating . &quot;",او توسط خبرگزاری اینترفکس گزارش شده است : ' علی رغم این واقعیت که گرجستان همه چیز را برای ترساندن مردم محلی در گالی انجام داده است ، مردم در حال شرکت در انتخابات و شرکت در آن هستند .,He,او,['او'],0,0,0,2
,,,,"He was reported by the Interfax news agency as saying : &quot; Despite the fact that Georgia tried everything to frighten the local population in Gali , people are going to the polls and participating . &quot;",او توسط خبرگزاری اینترفکس گزارش شده است : ' علی رغم این واقعیت که گرجستان همه چیز را برای ترساندن مردم محلی در گالی انجام داده است ، مردم در حال شرکت در انتخابات و شرکت در آن هستند .,the Interfax news agency,خبرگزاری اینترفکس,"['خبرگزاری', 'اینترفکس']",2,3,8,25
,,,,"He was reported by the Interfax news agency as saying : &quot; Despite the fact that Georgia tried everything to frighten the local population in Gali , people are going to the polls and participating . &quot;",او توسط خبرگزاری اینترفکس گزارش شده است : ' علی رغم این واقعیت که گرجستان همه چیز را برای ترساندن مردم محلی در گالی انجام داده است ، مردم در حال شرکت در انتخابات و شرکت در آن هستند .,saying,,[],0,0,0,0
,,,,"He was reported by the Interfax news agency as saying : &quot; Despite the fact that Georgia tried everything to frighten the local population in Gali , people are going to the polls and participating . &quot;",او توسط خبرگزاری اینترفکس گزارش شده است : ' علی رغم این واقعیت که گرجستان همه چیز را برای ترساندن مردم محلی در گالی انجام داده است ، مردم در حال شرکت در انتخابات و شرکت در آن هستند .,the local population,مردم محلی,"['مردم', 'محلی']",20,21,98,107
,,,,"Two bombs killed six police officers and a civilian on Friday , according to Egyptian state media .",بر اساس گزارش های رسانه های مصر ، در روز جمعه دو بمبگذاری شش افسر پلیس و یک غیرنظامی کشته شدند .,six police officers,شش افسر پلیس,"['شش', 'افسر', 'پلیس']",13,15,58,70
,,,,"Two bombs killed six police officers and a civilian on Friday , according to Egyptian state media .",بر اساس گزارش های رسانه های مصر ، در روز جمعه دو بمبگذاری شش افسر پلیس و یک غیرنظامی کشته شدند .,a civilian,یک غیرنظامی,"['یک', 'غیرنظامی']",17,18,73,84
,,,,"Two bombs killed six police officers and a civilian on Friday , according to Egyptian state media .",بر اساس گزارش های رسانه های مصر ، در روز جمعه دو بمبگذاری شش افسر پلیس و یک غیرنظامی کشته شدند .,Egyptian state media,رسانه های مصر,"['رسانه', 'های', 'مصر']",4,6,18,31
,,,,That bomb apparently targeted a police vehicle .,این بمب ظاهراً یک وسیله نقلیه پلیس را هدف قرار داده است .,a police vehicle,یک وسیله نقلیه پلیس,"['یک', 'وسیله', 'نقلیه', 'پلیس']",3,6,15,34
,,,,Tens of thousands of Romanians marched through heavy snow in Bucharest on Saturday in protest against proposed laws that critics say will make it harder to prosecute crime and high-level corruption .,ده ها هزار رومانیایی در روز شنبه در اعتراض به قوانین پیشنهادی در بخارست راهپیمایی کردند که به گفته منتقدان تعقیب جرایم و فساد در سطح بالا سخت تر می شود .,Tens of thousands of Romanians,ده ها هزار رومانیایی,"['ده', 'ها', 'هزار', 'رومانیایی']",0,3,0,20
,,,,Tens of thousands of Romanians marched through heavy snow in Bucharest on Saturday in protest against proposed laws that critics say will make it harder to prosecute crime and high-level corruption .,ده ها هزار رومانیایی در روز شنبه در اعتراض به قوانین پیشنهادی در بخارست راهپیمایی کردند که به گفته منتقدان تعقیب جرایم و فساد در سطح بالا سخت تر می شود .,marched,راهپیمایی کردند,"['راهپیمایی', 'کردند']",14,15,72,87
