doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
016ce246-c9ea-5a85-8e8d-8cff53befffb+3,event-7,agent,ss-1,they,تظاهرکنندگان,,[],0,0,0,0,"[41, 41]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-31,patient,ss-10,"more than 7,000",,بیش از ۷۰۰۰ نفر,"['بیش', 'از', '۷۰۰۰', 'نفر']",20,23,87,102,"[19, 21]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-32,patient,ss-11,"more than 2,500",,بیش از ۲ ٫ ۵۰۰ نفر,"['بیش', 'از', '۲', '٫', '۵۰۰', 'نفر']",30,35,126,144,"[28, 30]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-32,anchor,ss-46,at the hands,از,,[],0,0,0,0,"[31, 33]"
02b07905-fc8e-5aae-a233-741242b2f0ab+1,event-31,patient,ss-4,a 24-year-old man,یک مرد ۲۴ ساله,,[],0,0,0,0,"[20, 22]"
02b07905-fc8e-5aae-a233-741242b2f0ab+4,event-12,anchor,ss-29,found not guilty,مجرم شناخته,,[],0,0,0,0,"[10, 12]"
02b07905-fc8e-5aae-a233-741242b2f0ab+6,event-3,patient,ss-5,police,مأموران اورژانس,,[],0,0,0,0,"[24, 24]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+3,event-13,agent,ss-1,they,تظاهرکنندگان,آن‌ها,"['آن', 'ها']",10,11,53,58,"[13, 13]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-23,South Korean sightseers,تماشاگران کره جنوبی,,[],0,0,0,0,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+16,event-32,patient,ss-26,14,,۱۴,['۱۴'],4,4,16,18,"[5, 5]"
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+14,event-44,patient,ss-12,"an estimated 1,700",,حدود ۱۷۰۰ نفر,"['حدود', '۱۷۰۰', 'نفر']",27,29,114,127,"[19, 21]"
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+7,event-5,agent,ss-1,their,افسران فدرال,شان,['شان'],15,15,69,72,"[13, 13]"
1161595d-23a9-59f3-8aeb-ddab8ce19471+6,event-27,patient,ss-13,full-back Karmichael Hunt,کارمیک هانت,,[],0,0,0,0,"[9, 11]"
1388473e-8170-50b9-8361-8aeb3c6e6523+3,event-3,agent,ss-12,its,وزارت اروپا و امور خارجه فرانسه,,[],0,0,0,0,"[27, 27]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-10,agent,ss-12,it,وزارت امور خارجه فرانسه,,[],0,0,0,0,"[6, 6]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-34,patient,ss-2,religious minorities,,اقلیت‌های مذهبی,"['اقلیت', 'های', 'مذهبی']",44,46,214,229,"[52, 53]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+3,event-2,patient,ss-1,The accused,,متهمان,['متهمان'],4,4,15,21,"[0, 1]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+5,event-18,patient,ss-1,The six,,این شش نفر,"['این', 'شش', 'نفر']",0,2,0,10,"[0, 1]"
