doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-31,patient,ss-10,"more than 7,000",,بیش از ۷۰۰۰ نفر,"['بیش', 'از', '۷۰۰۰', 'نفر']",20,23,87,102,"[19, 21]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-32,patient,ss-11,"more than 2,500",,بیش از ۲ ٫ ۵۰۰ نفر,"['بیش', 'از', '۲', '٫', '۵۰۰', 'نفر']",30,35,126,144,"[28, 30]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-32,anchor,ss-46,at the hands,از,,[],0,0,0,0,"[31, 33]"
02b07905-fc8e-5aae-a233-741242b2f0ab+1,event-31,patient,ss-4,a 24-year-old man,یک مرد ۲۴ ساله,,[],0,0,0,0,"[20, 22]"
02b07905-fc8e-5aae-a233-741242b2f0ab+6,event-3,patient,ss-5,police,مأموران اورژانس,,[],0,0,0,0,"[24, 24]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+3,event-13,agent,ss-1,they,تظاهرکنندگان,آن ها,"['آن', 'ها']",10,11,53,58,"[13, 13]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-7,agent,ss-15,He,,او,['او'],0,0,0,2,"[0, 0]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-6,agent,ss-17,AFP,ان‌بی‌سی,,[],0,0,0,0,"[4, 4]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-23,South Korean sightseers,تماشاگران کره جنوبی,,[],0,0,0,0,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+16,event-32,patient,ss-26,14,,۱۴,['۱۴'],4,4,16,18,"[5, 5]"
0ba721fe-bdae-5569-927b-3721f533bbc0+3,event-12,agent,ss-9,Protesters,تظاهرات,,[],0,0,0,0,"[0, 0]"
0ba721fe-bdae-5569-927b-3721f533bbc0+3,event-12,anchor,ss-32,Protesters,تظاهرات,,[],0,0,0,0,"[0, 0]"
0ba721fe-bdae-5569-927b-3721f533bbc0+3,event-30,agent,ss-2,riot police,,پلیس ضد شورش,"['پلیس', 'ضد', 'شورش']",3,5,18,30,"[4, 5]"
0ba721fe-bdae-5569-927b-3721f533bbc0+3,event-10,agent,ss-3,thousands more,,هزاران نفر دیگر,"['هزاران', 'نفر', 'دیگر']",18,20,87,102,"[18, 19]"
