doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,unsupervised_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+1,event-24,patient,ss-4,"Two bombs killed six police officers and a civilian on Friday , according to Egyptian state media .",بر اساس گزارش های رسانه های مصر ، در روز جمعه دو بمبگذاری شش افسر پلیس و یک غیرنظامی کشته شدند .,six police officers,شش افسر,شش افسر پلیس,شش افسر پلیس,"['شش', 'افسر', 'پلیس']",13,15,58,70,"[3, 5]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+1,event-24,patient,ss-5,"Two bombs killed six police officers and a civilian on Friday , according to Egyptian state media .",بر اساس گزارش های رسانه های مصر ، در روز جمعه دو بمبگذاری شش افسر پلیس و یک غیرنظامی کشته شدند .,a civilian,های رسانه های,یک غیرنظامی,یک غیرنظامی,"['یک', 'غیرنظامی']",17,18,73,84,"[7, 8]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+1,event-3,agent,ss-6,"Two bombs killed six police officers and a civilian on Friday , according to Egyptian state media .",بر اساس گزارش های رسانه های مصر ، در روز جمعه دو بمبگذاری شش افسر پلیس و یک غیرنظامی کشته شدند .,Egyptian state media,مصر ،,رسانه‌های مصر,رسانه های مصر,"['رسانه', 'های', 'مصر']",4,6,18,31,"[14, 16]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+4,event-19,patient,ss-12,That bomb apparently targeted a police vehicle .,این بمب ظاهراً یک وسیله نقلیه پلیس را هدف قرار داده است .,a police vehicle,یک وسیله,یک وسیله نقلیه پلیس,یک وسیله نقلیه پلیس,"['یک', 'وسیله', 'نقلیه', 'پلیس']",3,6,15,34,"[4, 6]"
0ba721fe-bdae-5569-927b-3721f533bbc0+1,event-9,agent,ss-9,Tens of thousands of Romanians marched through heavy snow in Bucharest on Saturday in protest against proposed laws that critics say will make it harder to prosecute crime and high-level corruption .,ده ها هزار رومانیایی در روز شنبه در اعتراض به قوانین پیشنهادی در بخارست راهپیمایی کردند که به گفته منتقدان تعقیب جرایم و فساد در سطح بالا سخت تر می شود .,Tens of thousands of Romanians,می,ده‌ها هزار رومانیایی,ده ها هزار رومانیایی,"['ده', 'ها', 'هزار', 'رومانیایی']",0,3,0,20,"[0, 4]"
0ba721fe-bdae-5569-927b-3721f533bbc0+1,event-9,anchor,ss-29,Tens of thousands of Romanians marched through heavy snow in Bucharest on Saturday in protest against proposed laws that critics say will make it harder to prosecute crime and high-level corruption .,ده ها هزار رومانیایی در روز شنبه در اعتراض به قوانین پیشنهادی در بخارست راهپیمایی کردند که به گفته منتقدان تعقیب جرایم و فساد در سطح بالا سخت تر می شود .,marched,راهپیمایی,راهپیمایی کردند,راهپیمایی کردند,"['راهپیمایی', 'کردند']",14,15,72,87,"[5, 5]"
0ba721fe-bdae-5569-927b-3721f533bbc0+1,event-14,agent,ss-8,Tens of thousands of Romanians marched through heavy snow in Bucharest on Saturday in protest against proposed laws that critics say will make it harder to prosecute crime and high-level corruption .,ده ها هزار رومانیایی در روز شنبه در اعتراض به قوانین پیشنهادی در بخارست راهپیمایی کردند که به گفته منتقدان تعقیب جرایم و فساد در سطح بالا سخت تر می شود .,high-level,بالا,سطح بالا,سطح بالا,"['سطح', 'بالا']",25,26,129,137,"[29, 29]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+10,event-30,anchor,ss-52,"The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily , both with one surety each .",پس از آن قاضی مبلغ ۶ ٬ ۰۰۰ پوند برای اگنس و ۷ ٬ ۰۰۰ پوند برای امیلی تعیین کرد که هر دو با یک وثیقه تضمینی بودند .,bail,وثیقه,تعیین,,[],0,0,0,0,"[6, 6]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+10,event-30,patient,ss-18,"The judge then fixed RM6,000 court bail for Agnes and RM7,000 for Emily , both with one surety each .",پس از آن قاضی مبلغ ۶ ٬ ۰۰۰ پوند برای اگنس و ۷ ٬ ۰۰۰ پوند برای امیلی تعیین کرد که هر دو با یک وثیقه تضمینی بودند .,Agnes,امیلی,اگنس,اگنس,['اگنس'],10,10,37,41,"[8, 8]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+5,event-18,patient,ss-1,"The six — assistant enforcement officer Khairul Nizam Omar , 41 , Immigration officers Norhaliza Hussein , 34 , Emily Ngayan anak Beliang , 36 , Benjamin Morsit , 34 , Gracy Bohan , 35 , and Agnes James Daim , 42 — were accused of accepting the cash from Fazal Illahi Juma Gul .",این شش نفر -دستیار اجرای حکم اعدام خلیل نجم عمر ، ۴۱ ، افسران مهاجرت نورالحزه حسین ، ۳۴ ، امیلی ناجیان آناک بلینگ ، ۳۶ ، بنجامین مرسی ، ۳۴ ، گریسی بوهان ، ۳۵ ، و آگنس جیمز دوم ، ۴۲- به دریافت پول از فاس العی جوم گول متهم شدند .,The six,این شش,,این شش نفر,"['این', 'شش', 'نفر']",0,2,0,10,"[0, 1]"
