doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,Dozens of Filipino protestors,ده ها تن از تظاهرکنندگان فیلیپینی,"['ده', 'ها', 'تن', 'از', 'تظاهرکنندگان', 'فیلیپینی']",0,5,0,33
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,killings,قتل های,"['قتل', 'های']",16,17,81,88
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,anti-drugs,ضد مواد مخدر,"['ضد', 'مواد', 'مخدر']",22,24,112,124
,,,,"More than 100 demonstrators gathered at the Mendiola Peace Arch , near Malacanang Palace , where they performed stage plays portraying the procession and crucifixion of Jesus Christ to protest President Rodrigo Duterte &apos;s policies , including his support for death penalty , Efe news reported .",بیش از ۱۰۰ تظاهرات کننده در طاق صلح ماندولا در نزدیکی کاخ مالاکاناگانگ گرد هم آمدند ، جایی که نمایش های صحنه ای مراسم و مصلوب شدن عیسی مسیح را در اعتراض به سیاست های رئیس جمهور رودریگو دوترته ، از جمله حمایت او از مجازات اعدام ، به تصویر کشیدند .,demonstrators,تظاهرات کننده,"['تظاهرات', 'کننده']",3,4,11,24
,,,,"The protests came a day after officials reported that more than 100 suspected drug dealers and addicts died in clashes with the police over the last month during the second phase of Duterte &apos;s anti-drugs campaign , after it was temporarily suspended in January to launch an investigation into police corruption .",این اعتراضات یک روز پس از آنکه مقامات گزارش دادند که بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون در طی ماه گذشته در درگیری با پلیس در فاز دوم کمپین ضد مواد مخدر دوترته جان خود را از دست دادند ، رخ داد .,more than 100 suspected drug dealers and addicts,بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون,"['بیش', 'از', '۱۰۰', 'تن', 'از', 'قاچاقچیان', 'مواد', 'مخدر', 'و', 'معتادان', 'مظنون']",11,21,53,105
,,,,"The first phase of the campaign , which began when Duterte took office in June 2016 , led to more than 7,000 deaths within seven months , including more than 2,500 at the hands of police officers .",مرحله اول این کمپین که از زمان رسیدن دوترته به قدرت در ژوئن ۲۰۱۶ آغاز شد ، منجر به مرگ بیش از ۷۰۰۰ نفر در عرض هفت ماه از جمله بیش از ۲ ٫ ۵۰۰ نفر از افسران پلیس شد .,took office,رسیدن به قدرت,"['رسیدن', 'به', 'قدرت']",7,10,31,51
,,,,"The first phase of the campaign , which began when Duterte took office in June 2016 , led to more than 7,000 deaths within seven months , including more than 2,500 at the hands of police officers .",مرحله اول این کمپین که از زمان رسیدن دوترته به قدرت در ژوئن ۲۰۱۶ آغاز شد ، منجر به مرگ بیش از ۷۰۰۰ نفر در عرض هفت ماه از جمله بیش از ۲ ٫ ۵۰۰ نفر از افسران پلیس شد .,"more than 7,000",بیش از ۷۰۰۰ نفر,"['بیش', 'از', '۷۰۰۰', 'نفر']",20,23,87,102
,,,,"The first phase of the campaign , which began when Duterte took office in June 2016 , led to more than 7,000 deaths within seven months , including more than 2,500 at the hands of police officers .",مرحله اول این کمپین که از زمان رسیدن دوترته به قدرت در ژوئن ۲۰۱۶ آغاز شد ، منجر به مرگ بیش از ۷۰۰۰ نفر در عرض هفت ماه از جمله بیش از ۲ ٫ ۵۰۰ نفر از افسران پلیس شد .,"more than 2,500",بیش از ۲ ٫ ۵۰۰ نفر,"['بیش', 'از', '۲', '٫', '۵۰۰', 'نفر']",30,35,126,144
,,,,"The first phase of the campaign , which began when Duterte took office in June 2016 , led to more than 7,000 deaths within seven months , including more than 2,500 at the hands of police officers .",مرحله اول این کمپین که از زمان رسیدن دوترته به قدرت در ژوئن ۲۰۱۶ آغاز شد ، منجر به مرگ بیش از ۷۰۰۰ نفر در عرض هفت ماه از جمله بیش از ۲ ٫ ۵۰۰ نفر از افسران پلیس شد .,at the hands,,[],0,0,0,0
,,,,"The first phase of the campaign , which began when Duterte took office in June 2016 , led to more than 7,000 deaths within seven months , including more than 2,500 at the hands of police officers .",مرحله اول این کمپین که از زمان رسیدن دوترته به قدرت در ژوئن ۲۰۱۶ آغاز شد ، منجر به مرگ بیش از ۷۰۰۰ نفر در عرض هفت ماه از جمله بیش از ۲ ٫ ۵۰۰ نفر از افسران پلیس شد .,police officers,افسران پلیس,"['افسران', 'پلیس']",37,38,148,159
