doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,unsupervised_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
016ce246-c9ea-5a85-8e8d-8cff53befffb+1,event-5,agent,ss-1,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,Dozens of Filipino protestors,ها تن از تظاهرکنندگان,ده‌ها تن از تظاهرکنندگان فیلیپینی,ده ها تن از تظاهرکنندگان فیلیپینی,"['ده', 'ها', 'تن', 'از', 'تظاهرکنندگان', 'فیلیپینی']",0,5,0,33,"[0, 3]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+1,event-28,anchor,ss-42,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,killings,قتل,قتل‌های,قتل های,"['قتل', 'های']",16,17,81,88,"[13, 13]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+1,event-21,anchor,ss-35,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,anti-drugs,در,ضد مواد مخدر,ضد مواد مخدر,"['ضد', 'مواد', 'مخدر']",22,24,112,124,"[18, 18]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+2,event-6,anchor,ss-20,"More than 100 demonstrators gathered at the Mendiola Peace Arch , near Malacanang Palace , where they performed stage plays portraying the procession and crucifixion of Jesus Christ to protest President Rodrigo Duterte &apos;s policies , including his support for death penalty , Efe news reported .",بیش از ۱۰۰ تظاهرات کننده در طاق صلح ماندولا در نزدیکی کاخ مالاکاناگانگ گرد هم آمدند ، جایی که نمایش های صحنه ای مراسم و مصلوب شدن عیسی مسیح را در اعتراض به سیاست های رئیس جمهور رودریگو دوترته ، از جمله حمایت او از مجازات اعدام ، به تصویر کشیدند .,demonstrators,تظاهرات,تظاهرات‌کننده,تظاهرات کننده,"['تظاهرات', 'کننده']",3,4,11,24,"[3, 3]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+4,event-17,anchor,ss-31,"The demonstrators also carried signs with slogans including &apos; Stop the killings &apos; , &apos; lowering of age for criminal liability &apos; , &apos; death penalty &apos; , &apos; extrajudicial killings &apos; .",معترضان همچنین با شعار « دست از کشتار بردارید » ، « کاهش سن برای مسئولیت جنایی » ، « مجازات اعدام » و « قتل های غیرقانونی » همراه بودند .,death penalty,اعدام,مجازات اعدام,مجازات اعدام,"['مجازات', 'اعدام']",20,21,85,97,"[24, 25]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+7,event-18,anchor,ss-32,Duterte is also supporting a controversial bill to restore the death penalty in the country .,ترامپ همچنین از لایحه بحث برانگیز بازسازی مجازات اعدام در کشور حمایت می کند .,death penalty,اعدام,مجازات اعدام,مجازات اعدام,"['مجازات', 'اعدام']",7,8,42,54,"[10, 11]"
02b07905-fc8e-5aae-a233-741242b2f0ab+10,event-19,agent,ss-16,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,The Force Major Investigation Team,تیم,تیم تحقیق اصلی نیرو,تیم تحقیق اصلی نیرو,"['تیم', 'تحقیق', 'اصلی', 'نیرو']",0,3,0,19,"[1, 5]"
02b07905-fc8e-5aae-a233-741242b2f0ab+10,event-16,agent,ss-17,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,the Crown Prosecution Service,در مورد,سرویس دادستانی کل,سرویس دادستانی کل,"['سرویس', 'دادستانی', 'کل']",19,21,88,105,"[24, 27]"
02b07905-fc8e-5aae-a233-741242b2f0ab+10,event-16,patient,ss-3,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,Susan Kenny,سوزان کنی,کنی,سوزان کنی,"['سوزان', 'کنی']",30,31,148,157,"[36, 37]"
02b07905-fc8e-5aae-a233-741242b2f0ab+10,event-26,agent,ss-3,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,Susan Kenny,سوزان کنی,کنی,سوزان کنی,"['سوزان', 'کنی']",30,31,148,157,"[36, 37]"
