doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
19b657cc-a92e-5c35-936b-06c0a32c44e8+10,event-30,anchor,ss-52,bail,تعیین,,[],0,0,0,0,"[6, 6]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+5,event-18,patient,ss-1,The six,,این شش نفر,"['این', 'شش', 'نفر']",0,2,0,10,"[0, 1]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+10,event-4,agent,ss-14,Sudan &apos;s umbrella protest movement,جنبش اعتراضی چتر سودان,,[],0,0,0,0,"[1, 5]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+4,event-28,patient,ss-5,6.9 million euros,۷ ٫ ۷ میلیون یورو,,[],0,0,0,0,"[14, 16]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+7,event-15,patient,ss-12,2.5 million,,۲ ٫ ۵ میلیون نفر,"['۲', '٫', '۵', 'میلیون', 'نفر']",32,36,136,152,"[29, 30]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+12,event-33,patient,ss-16,Navalny,نیروی دریایی,,[],0,0,0,0,"[0, 0]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+4,event-33,agent,ss-8,she,,او,['او'],10,10,37,39,"[7, 7]"
532cdbf5-856b-5151-b9d9-e50f52271ed4+8,event-36,patient,ss-14,"more than 2,000",,بیش از ۲۰۰۰ نفر,"['بیش', 'از', '۲۰۰۰', 'نفر']",20,23,92,107,"[22, 24]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+5,event-14,patient,ss-10,He,,او,['او'],0,0,0,2,"[0, 0]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+5,event-14,anchor,ss-24,sentence,,محکوم شد,"['محکوم', 'شد']",30,31,112,120,"[6, 6]"
73235880-7f21-5967-ac6e-3dd58b843d26+4,event-15,patient,ss-5,more than 800,,بیش از ۸۰۰,"['بیش', 'از', '۸۰۰']",11,13,42,52,"[9, 11]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+5,event-19,anchor,ss-36,quarantine,کرده‌است,,[],0,0,0,0,"[25, 25]"
9ca065ad-c8eb-53b6-a8b3-aea777c53d90+5,event-6,anchor,ss-30,downplay,بی‌اهمیت,,[],0,0,0,0,"[25, 25]"
9ca065ad-c8eb-53b6-a8b3-aea777c53d90+5,event-22,anchor,ss-46,detentions,بازداشت‌های,,[],0,0,0,0,"[36, 36]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+7,event-11,agent,ss-8,some of those,,برخی از,"['برخی', 'از']",18,19,86,93,"[10, 12]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+7,event-21,anchor,ss-35,prosecutions,پرونده‌های,,[],0,0,0,0,"[34, 34]"
bb3db4ea-c13d-5bda-9354-8e5024966d00+2,event-10,patient,ss-1,The 17-year-old,,این کودک ۱۷ ساله,"['این', 'کودک', '۱۷', 'ساله']",0,3,0,16,"[0, 1]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+2,event-47,patient,ss-3,hundreds more,,صدها نفر دیگر,"['صدها', 'نفر', 'دیگر']",17,19,67,80,"[18, 19]"
c5cf1e61-f2cd-5ae7-829d-c85109b144ea+2,event-16,patient,ss-2,humans,انسان‌ها,,[],0,0,0,0,"[15, 15]"
c5cf1e61-f2cd-5ae7-829d-c85109b144ea+8,event-21,patient,ss-8,15 kampung chickens,,۱۵ مرغ کامانگ پونگ,"['۱۵', 'مرغ', 'کامانگ', 'پونگ']",23,26,110,128,"[22, 24]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-12,agent,ss-11,Indian yoga guru,,راهب هندی یوگای هندی,"['راهب', 'هندی', 'یوگای', 'هندی']",0,3,0,20,"[0, 2]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-12,anchor,ss-28,fast,,روزه,['روزه'],6,6,28,32,"[5, 5]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-17,anchor,ss-33,corruption,فساد را تعطیل کرد .,فساد,['فساد'],8,8,38,42,"[7, 7]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+0,event-18,anchor,ss-35,charged,اتهام زده,,[],0,0,0,0,"[2, 2]"
fb88fa3e-b00a-5125-9638-562fe9ee18cc+11,event-41,patient,ss-7,anyone else,,هیچ‌کس,"['هیچ', 'کس']",18,19,98,104,"[20, 21]"
