doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,Dozens of Filipino protestors,ده ها تن از تظاهرکنندگان فیلیپینی,"['ده', 'ها', 'تن', 'از', 'تظاهرکنندگان', 'فیلیپینی']",0,5,0,33
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,killings,قتل های,"['قتل', 'های']",16,17,81,88
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,anti-drugs,ضد مواد مخدر,"['ضد', 'مواد', 'مخدر']",22,24,112,124
,,,,"More than 100 demonstrators gathered at the Mendiola Peace Arch , near Malacanang Palace , where they performed stage plays portraying the procession and crucifixion of Jesus Christ to protest President Rodrigo Duterte &apos;s policies , including his support for death penalty , Efe news reported .",بیش از ۱۰۰ تظاهرات کننده در طاق صلح ماندولا در نزدیکی کاخ مالاکاناگانگ گرد هم آمدند ، جایی که نمایش های صحنه ای مراسم و مصلوب شدن عیسی مسیح را در اعتراض به سیاست های رئیس جمهور رودریگو دوترته ، از جمله حمایت او از مجازات اعدام ، به تصویر کشیدند .,demonstrators,تظاهرات کننده,"['تظاهرات', 'کننده']",3,4,11,24
,,,,"The protests came a day after officials reported that more than 100 suspected drug dealers and addicts died in clashes with the police over the last month during the second phase of Duterte &apos;s anti-drugs campaign , after it was temporarily suspended in January to launch an investigation into police corruption .",این اعتراضات یک روز پس از آنکه مقامات گزارش دادند که بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون در طی ماه گذشته در درگیری با پلیس در فاز دوم کمپین ضد مواد مخدر دوترته جان خود را از دست دادند ، رخ داد .,more than 100 suspected drug dealers and addicts,بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون,"['بیش', 'از', '۱۰۰', 'تن', 'از', 'قاچاقچیان', 'مواد', 'مخدر', 'و', 'معتادان', 'مظنون']",11,21,53,105
,,,,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,The Force Major Investigation Team,تیم تحقیق اصلی نیرو,"['تیم', 'تحقیق', 'اصلی', 'نیرو']",0,3,0,19
,,,,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,the Crown Prosecution Service,سرویس دادستانی کل,"['سرویس', 'دادستانی', 'کل']",19,21,88,105
,,,,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,Susan Kenny,سوزان کنی,"['سوزان', 'کنی']",30,31,148,157
,,,,"A 43-year-old man was arrested on suspicion of commiting criminal damage , a spokeswoman said .",یک مرد ۴۳ ساله به ظن آسیب جنایی دستگیر شد .,A 43-year-old man,یک مرد ۴۳ ساله,"['یک', 'مرد', '۴۳', 'ساله']",0,3,0,14
,,,,"A 43-year-old man was arrested on suspicion of commiting criminal damage , a spokeswoman said .",یک مرد ۴۳ ساله به ظن آسیب جنایی دستگیر شد .,a spokeswoman,,[],0,0,0,0
,,,,"A 43-year-old man was arrested on suspicion of commiting criminal damage , a spokeswoman said .",یک مرد ۴۳ ساله به ظن آسیب جنایی دستگیر شد .,said,,[],0,0,0,0
,,,,"A post-mortem examination found he died from a single stab wound to his right lung , police said .",پلیس گفت که پس از یک بررسی کالبدشکافی مشخص شد که او بر اثر یک زخم چاقو به ریه راست او مرده است .,died,مرده است,"['مرده', 'است']",21,22,86,94
