doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,Duterte is also supporting a controversial bill to restore the death penalty in the country .,ترامپ همچنین از لایحه بحث برانگیز بازسازی مجازات اعدام در کشور حمایت می کند .,death penalty,مجازات اعدام,"['مجازات', 'اعدام']",7,8,42,54
,,,,"Earlier Susan Kenny , 34 , of Leyland , was found not guilty of both murder and manslaughter at Preston Crown Court .",سوزان کِنی ، ۳۴ ساله ، از لایلند ، در دادگاه عالی پرستون ، به عنوان مجرم شناخته شد .,Susan Kenny,سوزان کِنی,"['سوزان', 'کِنی']",0,1,0,10
,,,,"Earlier Susan Kenny , 34 , of Leyland , was found not guilty of both murder and manslaughter at Preston Crown Court .",سوزان کِنی ، ۳۴ ساله ، از لایلند ، در دادگاه عالی پرستون ، به عنوان مجرم شناخته شد .,found not guilty,,[],0,0,0,0
,,,,"Earlier Susan Kenny , 34 , of Leyland , was found not guilty of both murder and manslaughter at Preston Crown Court .",سوزان کِنی ، ۳۴ ساله ، از لایلند ، در دادگاه عالی پرستون ، به عنوان مجرم شناخته شد .,murder,,[],0,0,0,0
,,,,"Earlier Susan Kenny , 34 , of Leyland , was found not guilty of both murder and manslaughter at Preston Crown Court .",سوزان کِنی ، ۳۴ ساله ، از لایلند ، در دادگاه عالی پرستون ، به عنوان مجرم شناخته شد .,manslaughter,,[],0,0,0,0
,,,,"Earlier Susan Kenny , 34 , of Leyland , was found not guilty of both murder and manslaughter at Preston Crown Court .",سوزان کِنی ، ۳۴ ساله ، از لایلند ، در دادگاه عالی پرستون ، به عنوان مجرم شناخته شد .,Preston Crown Court,دادگاه عالی پرستون,"['دادگاه', 'عالی', 'پرستون']",10,12,38,56
,,,,"The emergency services were called to Edgehill Crescent at about 0530 BST on 1 January and found Mr Rogers lying in the road , police said .",مأموران اورژانس در حدود ۰۵ : ۳۰ ژانویه به خیابان اجهیل احضار شدند و آقای راجرز را در جاده پیدا کردند .,police,,[],0,0,0,0
,,,,"The emergency services were called to Edgehill Crescent at about 0530 BST on 1 January and found Mr Rogers lying in the road , police said .",مأموران اورژانس در حدود ۰۵ : ۳۰ ژانویه به خیابان اجهیل احضار شدند و آقای راجرز را در جاده پیدا کردند .,said,,[],0,0,0,0
,,,,"Det Ch Insp Andy Hulme said : &quot; While I respect the decision of the court , naturally I am disappointed with the decision of the jury to clear the defendant on the charge of murder and manslaughter .",بازرس پلیس اندی هولم گفت : « در حالی که به تصمیم دادگاه احترام می گذارم ، طبیعتاً از تصمیم هیئت منصفه برای تبرئه متهمان از اتهام قتل و قتل ناامید هستم .,the defendant,,[],0,0,0,0
,,,,Georgian troops fled the province at the close of the war and Abkhazia later declared independence .,نیروهای گرجی پس از پایان جنگ از استان فرار کردند و آبخازیا بعدها استقلال خود را اعلام کرد .,Georgian troops,نیروهای گرجی,"['نیروهای', 'گرجی']",0,1,0,12
,,,,Georgian troops fled the province at the close of the war and Abkhazia later declared independence .,نیروهای گرجی پس از پایان جنگ از استان فرار کردند و آبخازیا بعدها استقلال خود را اعلام کرد .,fled,فرار کردند,"['فرار', 'کردند']",8,9,38,48
,,,,"The territory has not been recognised internationally , with the EU saying Georgia should not be broken up .",این سرزمین در سطح بین المللی به رسمیت شناخته نشده است ، اتحادیه اروپا می گوید گرجستان نباید تقسیم شود .,the EU,اتحادیه اروپا,"['اتحادیه', 'اروپا']",12,13,56,69
,,,,"The territory has not been recognised internationally , with the EU saying Georgia should not be broken up .",این سرزمین در سطح بین المللی به رسمیت شناخته نشده است ، اتحادیه اروپا می گوید گرجستان نباید تقسیم شود .,saying,می گوید,"['می', 'گوید']",14,15,70,77
,,,,Earlier Abkhaz officials threatened that their forces would fire on the demonstrators if they crossed a river into Abkhaz territory .,مقامات آذربایجانی پیش از این تهدید کرده بودند که اگر آن ها از رودخانه ای به قلمرو آبخاز عبور کنند ، نیروهای خود را به سمت تظاهرکنندگان شلیک خواهند کرد .,Abkhaz officials,مقامات آذربایجانی,"['مقامات', 'آذربایجانی']",0,1,0,17
,,,,Earlier Abkhaz officials threatened that their forces would fire on the demonstrators if they crossed a river into Abkhaz territory .,مقامات آذربایجانی پیش از این تهدید کرده بودند که اگر آن ها از رودخانه ای به قلمرو آبخاز عبور کنند ، نیروهای خود را به سمت تظاهرکنندگان شلیک خواهند کرد .,their forces,نیروهای خود,"['نیروهای', 'خود']",21,22,100,111
