doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,Dozens of Filipino protestors,ده ها تن از تظاهرکنندگان فیلیپینی,"['ده', 'ها', 'تن', 'از', 'تظاهرکنندگان', 'فیلیپینی']",0,5,0,33
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,killings,قتل های,"['قتل', 'های']",16,17,81,88
,,,,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,anti-drugs,ضد مواد مخدر,"['ضد', 'مواد', 'مخدر']",22,24,112,124
,,,,"The demonstrators also carried signs with slogans including &apos; Stop the killings &apos; , &apos; lowering of age for criminal liability &apos; , &apos; death penalty &apos; , &apos; extrajudicial killings &apos; .",معترضان همچنین با شعار « دست از کشتار بردارید » ، « کاهش سن برای مسئولیت جنایی » ، « مجازات اعدام » و « قتل های غیرقانونی » همراه بودند .,death penalty,مجازات اعدام,"['مجازات', 'اعدام']",20,21,85,97
,,,,A man staged a protest on the roof of a house in Lancashire after a woman was cleared of killing a 24-year-old man .,یک مرد پس از اینکه زنی از قتل یک مرد ۲۴ ساله تبرئه شد ، تظاهراتی را روی سقف خانه ای در لانکاشر برگزار کرد .,a woman,زنی,['زنی'],5,5,19,22
,,,,A man staged a protest on the roof of a house in Lancashire after a woman was cleared of killing a 24-year-old man .,یک مرد پس از اینکه زنی از قتل یک مرد ۲۴ ساله تبرئه شد ، تظاهراتی را روی سقف خانه ای در لانکاشر برگزار کرد .,a 24-year-old man,,[],0,0,0,0
,,,,Saakashvili says the territories are being artificially sustained by Moscow in an attempt to maintain Russian influence in the ex-Soviet region .,ساوخاشویلی می گوید که در تلاش برای حفظ نفوذ روسیه در منطقه شوروی سابق ، این سرزمین ها به طور مصنوعی توسط مسکو نگهداری می شوند .,Saakashvili,ساوخاشویلی,['ساوخاشویلی'],0,0,0,10
,,,,Saakashvili says the territories are being artificially sustained by Moscow in an attempt to maintain Russian influence in the ex-Soviet region .,ساوخاشویلی می گوید که در تلاش برای حفظ نفوذ روسیه در منطقه شوروی سابق ، این سرزمین ها به طور مصنوعی توسط مسکو نگهداری می شوند .,says,می گوید,"['می', 'گوید']",1,2,11,18
,,,,Saakashvili says the territories are being artificially sustained by Moscow in an attempt to maintain Russian influence in the ex-Soviet region .,ساوخاشویلی می گوید که در تلاش برای حفظ نفوذ روسیه در منطقه شوروی سابق ، این سرزمین ها به طور مصنوعی توسط مسکو نگهداری می شوند .,the territories,این سرزمین ها,"['این', 'سرزمین', 'ها']",15,17,72,85
,,,,Saakashvili says the territories are being artificially sustained by Moscow in an attempt to maintain Russian influence in the ex-Soviet region .,ساوخاشویلی می گوید که در تلاش برای حفظ نفوذ روسیه در منطقه شوروی سابق ، این سرزمین ها به طور مصنوعی توسط مسکو نگهداری می شوند .,the ex-Soviet region,منطقه شوروی سابق,"['منطقه', 'شوروی', 'سابق']",11,13,53,69
,,,,"The territory has not been recognised internationally , with the EU saying Georgia should not be broken up .",این سرزمین در سطح بین المللی به رسمیت شناخته نشده است ، اتحادیه اروپا می گوید گرجستان نباید تقسیم شود .,the EU,اتحادیه اروپا,"['اتحادیه', 'اروپا']",12,13,56,69
,,,,"The territory has not been recognised internationally , with the EU saying Georgia should not be broken up .",این سرزمین در سطح بین المللی به رسمیت شناخته نشده است ، اتحادیه اروپا می گوید گرجستان نباید تقسیم شود .,saying,می گوید,"['می', 'گوید']",14,15,70,77
,,,,"He was reported by the Interfax news agency as saying : &quot; Despite the fact that Georgia tried everything to frighten the local population in Gali , people are going to the polls and participating . &quot;",او توسط خبرگزاری اینترفکس گزارش شده است : ' علی رغم این واقعیت که گرجستان همه چیز را برای ترساندن مردم محلی در گالی انجام داده است ، مردم در حال شرکت در انتخابات و شرکت در آن هستند .,He,او,['او'],0,0,0,2
,,,,"He was reported by the Interfax news agency as saying : &quot; Despite the fact that Georgia tried everything to frighten the local population in Gali , people are going to the polls and participating . &quot;",او توسط خبرگزاری اینترفکس گزارش شده است : ' علی رغم این واقعیت که گرجستان همه چیز را برای ترساندن مردم محلی در گالی انجام داده است ، مردم در حال شرکت در انتخابات و شرکت در آن هستند .,the Interfax news agency,خبرگزاری اینترفکس,"['خبرگزاری', 'اینترفکس']",2,3,8,25
