doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,unsupervised_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
016ce246-c9ea-5a85-8e8d-8cff53befffb+7,event-18,anchor,ss-32,Duterte is also supporting a controversial bill to restore the death penalty in the country .,ترامپ همچنین از لایحه بحث برانگیز بازسازی مجازات اعدام در کشور حمایت می کند .,death penalty,اعدام,مجازات اعدام,مجازات اعدام,"['مجازات', 'اعدام']",7,8,42,54,"[10, 11]"
02b07905-fc8e-5aae-a233-741242b2f0ab+10,event-19,agent,ss-16,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,The Force Major Investigation Team,تیم,تیم تحقیق اصلی نیرو,تیم تحقیق اصلی نیرو,"['تیم', 'تحقیق', 'اصلی', 'نیرو']",0,3,0,19,"[1, 5]"
02b07905-fc8e-5aae-a233-741242b2f0ab+10,event-16,agent,ss-17,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,the Crown Prosecution Service,در مورد,سرویس دادستانی کل,سرویس دادستانی کل,"['سرویس', 'دادستانی', 'کل']",19,21,88,105,"[24, 27]"
02b07905-fc8e-5aae-a233-741242b2f0ab+10,event-16,patient,ss-3,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,Susan Kenny,سوزان کنی,کنی,سوزان کنی,"['سوزان', 'کنی']",30,31,148,157,"[36, 37]"
02b07905-fc8e-5aae-a233-741242b2f0ab+10,event-26,agent,ss-3,&quot; The Force Major Investigation Team carried out a full and thorough investigation into the death of Kevin Rogers and both the constabulary and the Crown Prosecution Service felt it was the correct decision to prosecute Susan Kenny with Mr Rogers &apos; murder .,تیم تحقیق اصلی نیرو تحقیقات کامل و جامعی را در مورد مرگ کوین راجرز انجام داد و دادگاه و سرویس دادستانی کل احساس کردند که این تصمیم درستی برای تعقیب سوزان کنی به اتهام قتل آقای راجرز است .,Susan Kenny,سوزان کنی,کنی,سوزان کنی,"['سوزان', 'کنی']",30,31,148,157,"[36, 37]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+12,event-10,agent,ss-20,Saakashvili says the territories are being artificially sustained by Moscow in an attempt to maintain Russian influence in the ex-Soviet region .,ساوخاشویلی می گوید که در تلاش برای حفظ نفوذ روسیه در منطقه شوروی سابق ، این سرزمین ها به طور مصنوعی توسط مسکو نگهداری می شوند .,Saakashvili,ساوخاشویلی می,ساوخاشویلی,ساوخاشویلی,['ساوخاشویلی'],0,0,0,10,"[0, 0]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+12,event-10,anchor,ss-37,Saakashvili says the territories are being artificially sustained by Moscow in an attempt to maintain Russian influence in the ex-Soviet region .,ساوخاشویلی می گوید که در تلاش برای حفظ نفوذ روسیه در منطقه شوروی سابق ، این سرزمین ها به طور مصنوعی توسط مسکو نگهداری می شوند .,says,گوید,می‌گوید,می گوید,"['می', 'گوید']",1,2,11,18,"[1, 1]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+12,event-21,patient,ss-7,Saakashvili says the territories are being artificially sustained by Moscow in an attempt to maintain Russian influence in the ex-Soviet region .,ساوخاشویلی می گوید که در تلاش برای حفظ نفوذ روسیه در منطقه شوروی سابق ، این سرزمین ها به طور مصنوعی توسط مسکو نگهداری می شوند .,the territories,این سرزمین,این سرزمین‌ها,این سرزمین ها,"['این', 'سرزمین', 'ها']",15,17,72,85,"[2, 3]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+12,event-22,patient,ss-11,Saakashvili says the territories are being artificially sustained by Moscow in an attempt to maintain Russian influence in the ex-Soviet region .,ساوخاشویلی می گوید که در تلاش برای حفظ نفوذ روسیه در منطقه شوروی سابق ، این سرزمین ها به طور مصنوعی توسط مسکو نگهداری می شوند .,the ex-Soviet region,به طور مصنوعی توسط,منطقه شوروی سابق,منطقه شوروی سابق,"['منطقه', 'شوروی', 'سابق']",11,13,53,69,"[18, 20]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+14,event-15,agent,ss-9,Georgian troops fled the province at the close of the war and Abkhazia later declared independence .,نیروهای گرجی پس از پایان جنگ از استان فرار کردند و آبخازیا بعدها استقلال خود را اعلام کرد .,Georgian troops,نیروهای,نیروهای گرجی,نیروهای گرجی,"['نیروهای', 'گرجی']",0,1,0,12,"[0, 1]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+14,event-15,anchor,ss-42,Georgian troops fled the province at the close of the war and Abkhazia later declared independence .,نیروهای گرجی پس از پایان جنگ از استان فرار کردند و آبخازیا بعدها استقلال خود را اعلام کرد .,fled,فرار,فرار کردند,فرار کردند,"['فرار', 'کردند']",8,9,38,48,"[2, 2]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-7,agent,ss-15,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,He,او,,او,['او'],0,0,0,2,"[0, 0]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-6,agent,ss-17,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,AFP,خبرگزاری,ان‌بی‌سی,,[],0,0,0,0,"[4, 4]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-7,anchor,ss-34,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,saying,:,,,[],0,0,0,0,"[6, 6]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-34,agent,ss-18,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,neither Abkhaz or Georgians,نه آبخاز,نه آبخاز و نه گرجی,نه آبخاز و نه گرجی,"['نه', 'آبخاز', 'و', 'نه', 'گرجی']",13,17,51,69,"[13, 16]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-23,"In February 2014 , South Korean sightseers on a tour bus were attacked .",در فوریه ۲۰۱۴ ، تماشاگران کره جنوبی در یک اتوبوس توریستی مورد حمله قرار گرفتند .,South Korean sightseers,جنوبی در,تماشاگران کره جنوبی,,[],0,0,0,0,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-24,"In February 2014 , South Korean sightseers on a tour bus were attacked .",در فوریه ۲۰۱۴ ، تماشاگران کره جنوبی در یک اتوبوس توریستی مورد حمله قرار گرفتند .,a tour bus,مورد حمله,یک اتوبوس توریستی,اتوبوس توریستی,"['اتوبوس', 'توریستی']",9,10,42,56,"[8, 10]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+4,event-19,patient,ss-12,That bomb apparently targeted a police vehicle .,این بمب ظاهراً یک وسیله نقلیه پلیس را هدف قرار داده است .,a police vehicle,یک وسیله,یک وسیله نقلیه پلیس,یک وسیله نقلیه پلیس,"['یک', 'وسیله', 'نقلیه', 'پلیس']",3,6,15,34,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+5,event-20,anchor,ss-58,There was no immediate credible claim of responsibility for either bombing .,هیچ ادعای معتبری مبنی بر مسئولیت فوری برای بمب گذاری ها وجود ندارد .,bombing,بمب,بمب‌گذاری‌ها,بمب گذاری ها,"['بمب', 'گذاری', 'ها']",8,10,43,55,"[10, 10]"
