doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,Duterte is also supporting a controversial bill to restore the death penalty in the country .,ترامپ همچنین از لایحه بحث برانگیز بازسازی مجازات اعدام در کشور حمایت می کند .,death penalty,مجازات اعدام,"['مجازات', 'اعدام']",7,8,42,54
,,,,Georgian troops fled the province at the close of the war and Abkhazia later declared independence .,نیروهای گرجی پس از پایان جنگ از استان فرار کردند و آبخازیا بعدها استقلال خود را اعلام کرد .,Georgian troops,نیروهای گرجی,"['نیروهای', 'گرجی']",0,1,0,12
,,,,Georgian troops fled the province at the close of the war and Abkhazia later declared independence .,نیروهای گرجی پس از پایان جنگ از استان فرار کردند و آبخازیا بعدها استقلال خود را اعلام کرد .,fled,فرار کردند,"['فرار', 'کردند']",8,9,38,48
,,,,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,He,او,['او'],0,0,0,2
,,,,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,AFP,,[],0,0,0,0
,,,,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,saying,,[],0,0,0,0
,,,,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,neither Abkhaz or Georgians,نه آبخاز و نه گرجی,"['نه', 'آبخاز', 'و', 'نه', 'گرجی']",13,17,51,69
,,,,"&quot; We risk our lives , we leave families behind and it &apos;s the fault of those officers that we go down , &quot; he said .",او می گوید : ' ما زندگی خود را به خطر می اندازیم ، خانواده هایمان را پشت سر می گذاریم و این تقصیر آن افسران است که ما پایین می آییم .,said,می گوید,"['می', 'گوید']",1,2,3,10
,,,,"They replaced the army , which had failed to stop a wave of drug-related killings , which has left an estimated 1,700 dead in Ciudad Juarez this year .",آن ها ارتش را جایگزین کردند ، که در متوقف کردن موجی از قتل های مرتبط با مواد مخدر شکست خورده بود ، که در سال جاری حدود ۱۷۰۰ نفر در سیوداد سالوادور کشته شدند .,They,آن ها,"['آن', 'ها']",0,1,0,5
,,,,"They replaced the army , which had failed to stop a wave of drug-related killings , which has left an estimated 1,700 dead in Ciudad Juarez this year .",آن ها ارتش را جایگزین کردند ، که در متوقف کردن موجی از قتل های مرتبط با مواد مخدر شکست خورده بود ، که در سال جاری حدود ۱۷۰۰ نفر در سیوداد سالوادور کشته شدند .,killings,قتل های,"['قتل', 'های']",13,14,55,62
,,,,"They replaced the army , which had failed to stop a wave of drug-related killings , which has left an estimated 1,700 dead in Ciudad Juarez this year .",آن ها ارتش را جایگزین کردند ، که در متوقف کردن موجی از قتل های مرتبط با مواد مخدر شکست خورده بود ، که در سال جاری حدود ۱۷۰۰ نفر در سیوداد سالوادور کشته شدند .,"an estimated 1,700",حدود ۱۷۰۰ نفر,"['حدود', '۱۷۰۰', 'نفر']",27,29,114,127
,,,,"The left-wing government pushed through a judicial overhaul through parliament in December , despite criticism from the European Commission , the US state department , thousands of magistrates and the centrist president , Klaus Iohannis .",دولت چپ گرا ، علی رغم انتقاد کمیسیون اروپا ، وزارت امور خارجه آمریکا ، هزاران قاضی و رئیس جمهور میانه رو ، کلاوس یوانس ، اصلاحات قضایی را در پارلمان به پیش برد .,The left-wing government,دولت چپ گرا,"['دولت', 'چپ', 'گرا']",0,2,0,11
,,,,"The left-wing government pushed through a judicial overhaul through parliament in December , despite criticism from the European Commission , the US state department , thousands of magistrates and the centrist president , Klaus Iohannis .",دولت چپ گرا ، علی رغم انتقاد کمیسیون اروپا ، وزارت امور خارجه آمریکا ، هزاران قاضی و رئیس جمهور میانه رو ، کلاوس یوانس ، اصلاحات قضایی را در پارلمان به پیش برد .,the European Commission,کمیسیون اروپا,"['کمیسیون', 'اروپا']",7,8,29,42
,,,,"The left-wing government pushed through a judicial overhaul through parliament in December , despite criticism from the European Commission , the US state department , thousands of magistrates and the centrist president , Klaus Iohannis .",دولت چپ گرا ، علی رغم انتقاد کمیسیون اروپا ، وزارت امور خارجه آمریکا ، هزاران قاضی و رئیس جمهور میانه رو ، کلاوس یوانس ، اصلاحات قضایی را در پارلمان به پیش برد .,the US state department,وزارت امور خارجه آمریکا,"['وزارت', 'امور', 'خارجه', 'آمریکا']",10,13,45,68
,,,,"&quot; I want to point out that by going to Phase 6 the activity has become established in at least two regions of the world , &quot; he said .",او گفت : « من می خواهم اشاره کنم که با رفتن به مرحله ششم ، این فعالیت در حداقل دو منطقه از جهان تأسیس شده است . »,at least two regions,حداقل دو منطقه,"['حداقل', 'دو', 'منطقه']",19,21,73,87
,,,,"The Foreign Office of Paris spoke of intensive and continuous dialogue with the Algerian authorities , which allows it to raise all issues , especially those relating to human rights and individual freedoms , noting that the Freedom of belief is enshrined in the Algerian Constitution through Article 42 .",وزارت امور خارجه فرانسه از گفتگوی مداوم و مداوم با مقامات الجزایر سخن گفت که به آن ها اجازه می دهد تا همه مسائل ، به ویژه حقوق بشر و آزادی های فردی را مطرح کنند .,spoke,سخن گفت,"['سخن', 'گفت']",12,13,66,73
,,,,"The Foreign Office of Paris spoke of intensive and continuous dialogue with the Algerian authorities , which allows it to raise all issues , especially those relating to human rights and individual freedoms , noting that the Freedom of belief is enshrined in the Algerian Constitution through Article 42 .",وزارت امور خارجه فرانسه از گفتگوی مداوم و مداوم با مقامات الجزایر سخن گفت که به آن ها اجازه می دهد تا همه مسائل ، به ویژه حقوق بشر و آزادی های فردی را مطرح کنند .,the Algerian authorities,مقامات الجزایر,"['مقامات', 'الجزایر']",10,11,51,65
,,,,"On March 15 , the MACC arrested 11 Sarawakian immigration officers who allegedly received bribes from a syndicate to turn a blind eye to illegal foreign workers entering the state .",در ۱۵ مارس ، MACC ۱۱ افسر مهاجرت سوماترا را دستگیر کرد که گفته می شود از یک سندیکای رشوه گرفته اند تا چشم خود را به کارگران خارجی غیرقانونی که وارد ایالت می شوند ببندند .,11 Sarawakian immigration officers,۱۱ افسر مهاجرت سوماترا,"['۱۱', 'افسر', 'مهاجرت', 'سوماترا']",5,8,18,40
,,,,The accused were said to have received the cash between late last year and early this year .,گفته می شود که متهمان بین اواخر سال گذشته و اوایل سال جاری پول را دریافت کرده اند .,The accused,متهمان,['متهمان'],4,4,15,21
,,,,The accused were said to have received the cash between late last year and early this year .,گفته می شود که متهمان بین اواخر سال گذشته و اوایل سال جاری پول را دریافت کرده اند .,received the cash,پول را دریافت کرده اند,"['پول', 'را', 'دریافت', 'کرده', 'اند']",13,17,59,81
,,,,"The Malaysian Anti-Corruption Commission ( MACC ) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years , or a fine , or both upon conviction .",کمیسیون ضد فساد مالزی آن ها را به طور جداگانه تحت بخش ۱۶۵ قانون جزایی که حداکثر دو سال حبس یا جریمه یا هر دو را در صورت محکومیت حمل می کند ، محکوم کرده است .,The Malaysian Anti-Corruption Commission,کمیسیون ضد فساد مالزی,"['کمیسیون', 'ضد', 'فساد', 'مالزی']",0,3,0,21
,,,,"The Malaysian Anti-Corruption Commission ( MACC ) charged them separately under Section 165 of the Penal Code which carries a maximum imprisonment of two years , or a fine , or both upon conviction .",کمیسیون ضد فساد مالزی آن ها را به طور جداگانه تحت بخش ۱۶۵ قانون جزایی که حداکثر دو سال حبس یا جریمه یا هر دو را در صورت محکومیت حمل می کند ، محکوم کرده است .,them,آن ها,"['آن', 'ها']",4,5,22,27
,,,,"The provincial deputy governor , Haidar Mohammed Jassim , said five people were killed and 35 wounded .",معاون فرماندار استان ، حیدر محمد جاسم ، گفت که پنج نفر کشته و ۳۵ نفر زخمی شدند .,35,۳۵ نفر,"['۳۵', 'نفر']",14,15,62,68
