doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,"The emergency services were called to Edgehill Crescent at about 0530 BST on 1 January and found Mr Rogers lying in the road , police said .",مأموران اورژانس در حدود ۰۵ : ۳۰ ژانویه به خیابان اجهیل احضار شدند و آقای راجرز را در جاده پیدا کردند .,police,,[],0,0,0,0
,,,,"The emergency services were called to Edgehill Crescent at about 0530 BST on 1 January and found Mr Rogers lying in the road , police said .",مأموران اورژانس در حدود ۰۵ : ۳۰ ژانویه به خیابان اجهیل احضار شدند و آقای راجرز را در جاده پیدا کردند .,said,,[],0,0,0,0
,,,,"Det Ch Insp Andy Hulme said : &quot; While I respect the decision of the court , naturally I am disappointed with the decision of the jury to clear the defendant on the charge of murder and manslaughter .",بازرس پلیس اندی هولم گفت : « در حالی که به تصمیم دادگاه احترام می گذارم ، طبیعتاً از تصمیم هیئت منصفه برای تبرئه متهمان از اتهام قتل و قتل ناامید هستم .,the defendant,,[],0,0,0,0
,,,,Militants have killed hundreds of policemen and soldiers since the overthrow of Morsy in July 2013 .,شورشیان از زمان سرنگونی مرسی در ژوئیه ۲۰۱۳ صدها پلیس و سرباز را کشته اند .,killed,کشته اند,"['کشته', 'اند']",13,14,64,72
,,,,All 224 people aboard died .,همه ۲۲۴ نفر در کشتی کشته شدند .,died,کشته شدند,"['کشته', 'شدند']",5,6,20,29
,,,,That bomb apparently targeted a police vehicle .,این بمب ظاهراً یک وسیله نقلیه پلیس را هدف قرار داده است .,a police vehicle,یک وسیله نقلیه پلیس,"['یک', 'وسیله', 'نقلیه', 'پلیس']",3,6,15,34
,,,,One of the policemen who took part in the protest told the Associated Press news agency corruption in the higher ranks was putting them in danger .,یکی از پلیس هایی که در این اعتراضات شرکت داشت به خبرگزاری آسوشیتد پرس گفت که فساد در سطوح بالا آن ها را به خطر انداخته است .,One of the policemen,یکی از پلیس هایی,"['یکی', 'از', 'پلیس', 'هایی']",0,3,0,16
,,,,Australian swine flu spike could force WHO pandemic declaration,افزایش آنفولانزای خوکی در استرالیا می تواند باعث اعلام همه گیری جهانی شود .,Australian swine flu,آنفولانزای خوکی در استرالیا,"['آنفولانزای', 'خوکی', 'در', 'استرالیا']",1,4,7,34
,,,,Australian swine flu spike could force WHO pandemic declaration,افزایش آنفولانزای خوکی در استرالیا می تواند باعث اعلام همه گیری جهانی شود .,pandemic,همه گیری جهانی,"['همه', 'گیری', 'جهانی']",9,11,55,69
,,,,"In a statement a day earlier , Fukuda said the WHO had been working extremely hard preparing countries for what a potential move to a global pandemic would entail .",در بیانیه ای یک روز قبل ، فوکودا اعلام کرد که سازمان جهانی بهداشت به شدت در حال آماده سازی کشورها برای آنچه که ممکن است منجر به همه گیری جهانی شود ، است .,said,اعلام کرد,"['اعلام', 'کرد']",8,9,33,42
,,,,"In a statement a day earlier , Fukuda said the WHO had been working extremely hard preparing countries for what a potential move to a global pandemic would entail .",در بیانیه ای یک روز قبل ، فوکودا اعلام کرد که سازمان جهانی بهداشت به شدت در حال آماده سازی کشورها برای آنچه که ممکن است منجر به همه گیری جهانی شود ، است .,move,,[],0,0,0,0
,,,,"In a statement a day earlier , Fukuda said the WHO had been working extremely hard preparing countries for what a potential move to a global pandemic would entail .",در بیانیه ای یک روز قبل ، فوکودا اعلام کرد که سازمان جهانی بهداشت به شدت در حال آماده سازی کشورها برای آنچه که ممکن است منجر به همه گیری جهانی شود ، است .,pandemic,همه گیری جهانی,"['همه', 'گیری', 'جهانی']",28,30,128,142
,,,,"There has been no claim of responsibility for the recent wave of attacks , but extremists , including al-Qaeda &apos;s Iraq branch , are believed to be responsible for much of the killing .",هیچ ادعایی در مورد مسئولیت موج اخیر حملات وجود ندارد ، اما افراط گرایان ، از جمله شاخه القاعده در عراق ، مسئول بسیاری از قتل ها هستند .,al-Qaeda &apos;s Iraq branch,شاخه القاعده در عراق,"['شاخه', 'القاعده', 'در', 'عراق']",17,20,82,102
,,,,"There has been no claim of responsibility for the recent wave of attacks , but extremists , including al-Qaeda &apos;s Iraq branch , are believed to be responsible for much of the killing .",هیچ ادعایی در مورد مسئولیت موج اخیر حملات وجود ندارد ، اما افراط گرایان ، از جمله شاخه القاعده در عراق ، مسئول بسیاری از قتل ها هستند .,killing,قتل ها,"['قتل', 'ها']",25,26,121,127
,,,,"The Justice Ministry said the trial , which was due to have opened on March 17 with the reading of an indictment in three graft cases against Israel ’ s longest-serving leader , would begin on May 24 due to the outbreak of coronavirus .",وزارت دادگستری گفت که دادگاه ، که قرار بود در ۱۷ مارس با صدور کیفرخواست در سه مورد کلاهبرداری علیه طولانی ترین رهبر اسرائیل آغاز شود ، در ۲۴ مه به دلیل شیوع ویروس کرونا آغاز خواهد شد .,The Justice Ministry,وزارت دادگستری,"['وزارت', 'دادگستری']",0,1,0,14
,,,,"The Justice Ministry said the trial , which was due to have opened on March 17 with the reading of an indictment in three graft cases against Israel ’ s longest-serving leader , would begin on May 24 due to the outbreak of coronavirus .",وزارت دادگستری گفت که دادگاه ، که قرار بود در ۱۷ مارس با صدور کیفرخواست در سه مورد کلاهبرداری علیه طولانی ترین رهبر اسرائیل آغاز شود ، در ۲۴ مه به دلیل شیوع ویروس کرونا آغاز خواهد شد .,Israel ’ s longest-serving leader,طولانی ترین رهبر اسرائیل,"['طولانی', 'ترین', 'رهبر', 'اسرائیل']",20,23,99,123
,,,,"The Justice Ministry said the trial , which was due to have opened on March 17 with the reading of an indictment in three graft cases against Israel ’ s longest-serving leader , would begin on May 24 due to the outbreak of coronavirus .",وزارت دادگستری گفت که دادگاه ، که قرار بود در ۱۷ مارس با صدور کیفرخواست در سه مورد کلاهبرداری علیه طولانی ترین رهبر اسرائیل آغاز شود ، در ۲۴ مه به دلیل شیوع ویروس کرونا آغاز خواهد شد .,coronavirus,ویروس کرونا,"['ویروس', 'کرونا']",33,34,157,168
,,,,"Netanyahu , who heads the right-wing Likud party , is fighting for his political life after an inconclusive election on March 2 , following ballots in April and September that also ended without a clear victor .",نتانیاهو که رهبر حزب راست گرا بود ، پس از یک انتخابات بدون نتیجه در ۲ مارس و سپتامبر که بدون پیروزی قطعی به پایان رسید ، برای زندگی سیاسی خود مبارزه می کند .,ballots,,[],0,0,0,0
,,,,"A similar protest will be held on Wednesday in Sulaimaniya , the region ’ s other major city and the base of a reform movement called Gorran .",تظاهرات مشابهی در سه شنبه در سلیمانیه ، یکی دیگر از شهرهای بزرگ منطقه و پایه یک جنبش اصلاح طلبانه به نام گورران برگزار خواهد شد .,a reform movement,یک جنبش اصلاح طلبانه,"['یک', 'جنبش', 'اصلاح', 'طلبانه']",16,19,77,97
,,,,Indonesia &apos;s anti-corruption court has found a two-star general guilty of corruption and money laundering in a high-profile case .,دادگاه ضد فساد اندونزی یک ژنرال دو ستاره را متهم به فساد و پول شویی در یک پرونده معروف کرده است .,found a two-star general guilty,یک ژنرال دو ستاره را متهم معروف کرده است,"['یک', 'ژنرال', 'دو', 'ستاره', 'را', 'متهم', 'معروف', 'کرده', 'است']",4,20,23,95
,,,,A witness told the court that Djoko bought 16 kris from him and paid for them with a luxurious house .,یک شاهد عینی به دادگاه گفت که جکو ۱۶ راکت را از او خرید و هزینه آن را با یک خانه مجلل پرداخت کرد .,the court,دادگاه,['دادگاه'],4,4,16,22
